Year,Meat,Consumption,,,,,,,,,,,,,,,,,,
1960,Beef,63.3,,,,,,,,,,,,,,,,,,
1965,Beef,74.7,,,,,,,,,,,,,,,,,,
1966,Beef,78.1,,,,,,,,,,,,,,,,,,
1967,Beef,79.8,,,,,,,,,,,,,,,,,,
1968,Beef,82,,,,,,,,,,,,,,,,,,"1,796"
1969,Beef,82.5,,,,,,,,,,,,,,,,,,
1970,Beef,84.4,,,,,,,,,,,,,,,,,,
1971,Beef,83.9,,,,,,,,,,,,,,,,,,
1972,Beef,85.3,,,,,,,,,,,,,,,,,,
1973,Beef,80.5,,,,,,,,,,,,,,,,,,
1974,Beef,85.6,,,,,,,,,,,,,,,,,,
1975,Beef,88.2,,,,,,,,,,,,,,,,,,
1976,Beef,94.1,,,,,,,,,,,,,,,,,,
1977,Beef,91.5,,,,,,,,,,,,,,,,,,
1978,Beef,87.1,,,,,,,,,,,,,,,,,,
1979,Beef,77.9,,,,,,,,,,,,,,,,,,
1980,Beef,76.4,,,,,,,,,,,,,,,,,,
1981,Beef,77.2,,,,,,,,,,,,,,,,,,
1982,Beef,76.9,,,,,,,,,,,,,,,,,,
1983,Beef,78.5,,,,,,,,,,,,,,,,,,
1984,Beef,78.3,,,,,,,,,,,,,,,,,,
1985,Beef,79,,,,,,,,,,,,,,,,,,
1986,Beef,78.7,,,,,,,,,,,,,,,,,,
1987,Beef,73.7,,,,,,,,,,,,,,,,,,
1988,Beef,72.5,,,,,,,,,,,,,,,,,,
1989,Beef,68.9,,,,,,,,,,,,,,,,,,
1990,Beef,67.5,,,,,,,,,,,,,,,,,,
1991,Beef,66.4,,,,,,,,,,,,,,,,,,
1992,Beef,65.9,,,,,,,,,,,,,,,,,,
1993,Beef,64.4,,,,,,,,,,,,,,,,,,
1994,Beef,66.1,,,,,,,,,,,,,,,,,,
1995,Beef,66.4,,,,,,,,,,,,,,,,,,
1996,Beef,67,,,,,,,,,,,,,,,,,,
1997,Beef,65.5,,,,,,,,,,,,,,,,,,
1998,Beef,66.5,,,,,,,,,,,,,,,,,,
1999,Beef,67.3,,,,,,,,,,,,,,,,,,
2000,Beef,67.5,,,,,,,,,,,,,,,,,,
2001,Beef,66,,,,,,,,,,,,,,,,,,
2002,Beef,67.5,,,,,,,,,,,,,,,,,,
2003,Beef,64.8,,,,,,,,,,,,,,,,,,
2004,Beef,65.9,,,,,,,,,,,,,,,,,,
2005,Beef,65.4,,,,,,,,,,,,,,,,,,
2006,Beef,65.7,,,,,,,,,,,,,,,,,,
2007,Beef,65,,,,,,,,,,,,,,,,,,
2008,Beef,62.1,,,,,,,,,,,,,,,,,,
2009,Beef,60.8,,,,,,,,,,,,,,,,,,
2010,Beef,59.3,,,,,,,,,,,,,,,,,,
2011,Beef,56.9,,,,,,,,,,,,,,,,,,
2012,Beef,57.1,,,,,,,,,,,,,,,,,,
2013,Beef,56,,,,,,,,,,,,,,,,,,
2014,Beef,53.9,,,,,,,,,,,,,,,,,,
2015,Beef,53.8,,,,,,,,,,,,,,,,,,
2016,Beef,56.5,,,,,,,,,,,,,,,,,,
2017,Beef,56.9,,,,,,,,,,,,,,,,,,
2018,Beef,57.2,,,,,,,,,,,,,,,,,,
1960,Pork,59.1,,,,,,,,,,,,,,,,,,
1965,Pork,51.5,,,,,,,,,,,,,,,,,,
1966,Pork,50.3,,,,,,,,,,,,,,,,,,
1967,Pork,55,,,,,,,,,,,,,,,,,,
1968,Pork,56.2,,,,,,,,,,,,,,,,,,
1969,Pork,54.3,,,,,,,,,,,,,,,,,,
1970,Pork,55.4,,,,,,,,,,,,,,,,,,
1971,Pork,60.6,,,,,,,,,,,,,,,,,,
1972,Pork,54.7,,,,,,,,,,,,,,,,,,
1973,Pork,48.7,,,,,,,,,,,,,,,,,,
1974,Pork,52.7,,,,,,,,,,,,,,,,,,
1975,Pork,42.9,,,,,,,,,,,,,,,,,,
1976,Pork,45.1,,,,,,,,,,,,,,,,,,
1977,Pork,46.7,,,,,,,,,,,,,,,,,,
1978,Pork,46.5,,,,,,,,,,,,,,,,,,
1979,Pork,53.2,,,,,,,,,,,,,,,,,,
1980,Pork,56.8,,,,,,,,,,,,,,,,,,
1981,Pork,54.2,,,,,,,,,,,,,,,,,,
1982,Pork,48.6,,,,,,,,,,,,,,,,,,
1983,Pork,51.3,,,,,,,,,,,,,,,,,,
1984,Pork,51,,,,,,,,,,,,,,,,,,
1985,Pork,51.5,,,,,,,,,,,,,,,,,,
1986,Pork,48.6,,,,,,,,,,,,,,,,,,
1987,Pork,48.8,,,,,,,,,,,,,,,,,,
1988,Pork,52.1,,,,,,,,,,,,,,,,,,
1989,Pork,51.5,,,,,,,,,,,,,,,,,,
1990,Pork,49.4,,,,,,,,,,,,,,,,,,
1991,Pork,49.8,,,,,,,,,,,,,,,,,,
1992,Pork,52.3,,,,,,,,,,,,,,,,,,
1993,Pork,51.6,,,,,,,,,,,,,,,,,,
1994,Pork,52.1,,,,,,,,,,,,,,,,,,
1995,Pork,51.5,,,,,,,,,,,,,,,,,,
1996,Pork,48.1,,,,,,,,,,,,,,,,,,
1997,Pork,47.6,,,,,,,,,,,,,,,,,,
1998,Pork,51.3,,,,,,,,,,,,,,,,,,
1999,Pork,52.5,,,,,,,,,,,,,,,,,,
2000,Pork,50.8,,,,,,,,,,,,,,,,,,
2001,Pork,50,,,,,,,,,,,,,,,,,,
2002,Pork,51.3,,,,,,,,,,,,,,,,,,
2003,Pork,51.6,,,,,,,,,,,,,,,,,,
2004,Pork,51,,,,,,,,,,,,,,,,,,
2005,Pork,49.6,,,,,,,,,,,,,,,,,,
2006,Pork,49,,,,,,,,,,,,,,,,,,
2007,Pork,50.3,,,,,,,,,,,,,,,,,,
2008,Pork,48.9,,,,,,,,,,,,,,,,,,
2009,Pork,49.6,,,,,,,,,,,,,,,,,,
2010,Pork,47.2,,,,,,,,,,,,,,,,,,
2011,Pork,45.1,,,,,,,,,,,,,,,,,,
2012,Pork,45.3,,,,,,,,,,,,,,,,,,
2013,Pork,46.3,,,,,,,,,,,,,,,,,,
2014,Pork,45.3,,,,,,,,,,,,,,,,,,
2015,Pork,49.2,,,,,,,,,,,,,,,,,,
2016,Pork,50.1,,,,,,,,,,,,,,,,,,
2017,Pork,50.1,,,,,,,,,,,,,,,,,,
2018,Pork,50.9,,,,,,,,,,,,,,,,,,
1960,Poultry Meat,34.2,,,,,,,,,,,,,,,,,,
1965,Poultry Meat,44,,,,,,,,,,,,,,,,,,
1966,Poultry Meat,43.7,,,,,,,,,,,,,,,,,,
1967,Poultry Meat,45.3,,,,,,,,,,,,,,,,,,
1968,Poultry Meat,44.9,,,,,,,,,,,,,,,,,,
1969,Poultry Meat,46.8,,,,,,,,,,,,,,,,,,
1970,Poultry Meat,48.2,,,,,,,,,,,,,,,,,,
1971,Poultry Meat,48.5,,,,,,,,,,,,,,,,,,
1972,Poultry Meat,50.4,,,,,,,,,,,,,,,,,,
1973,Poultry Meat,48.2,,,,,,,,,,,,,,,,,,
1974,Poultry Meat,48.4,,,,,,,,,,,,,,,,,,
1975,Poultry Meat,47,,,,,,,,,,,,,,,,,,
1976,Poultry Meat,50.9,,,,,,,,,,,,,,,,,,
1977,Poultry Meat,51.4,,,,,,,,,,,,,,,,,,
1978,Poultry Meat,53.4,,,,,,,,,,,,,,,,,,
1979,Poultry Meat,56.9,,,,,,,,,,,,,,,,,,
1980,Poultry Meat,57.6,,,,,,,,,,,,,,,,,,
1981,Poultry Meat,59.3,,,,,,,,,,,,,,,,,,
1982,Poultry Meat,59.5,,,,,,,,,,,,,,,,,,
1983,Poultry Meat,60,,,,,,,,,,,,,,,,,,
1984,Poultry Meat,61.9,,,,,,,,,,,,,,,,,,
1985,Poultry Meat,64.1,,,,,,,,,,,,,,,,,,
1986,Poultry Meat,66,,,,,,,,,,,,,,,,,,
1987,Poultry Meat,71.3,,,,,,,,,,,,,,,,,,
1988,Poultry Meat,72.4,,,,,,,,,,,,,,,,,,
1989,Poultry Meat,74.4,,,,,,,,,,,,,,,,,,
1990,Poultry Meat,78.1,,,,,,,,,,,,,,,,,,
1991,Poultry Meat,80.7,,,,,,,,,,,,,,,,,,
1992,Poultry Meat,84.2,,,,,,,,,,,,,,,,,,
1993,Poultry Meat,86.5,,,,,,,,,,,,,,,,,,
1994,Poultry Meat,87.3,,,,,,,,,,,,,,,,,,
1995,Poultry Meat,86.5,,,,,,,,,,,,,,,,,,
1996,Poultry Meat,87.8,,,,,,,,,,,,,,,,,,
1997,Poultry Meat,88.6,,,,,,,,,,,,,,,,,,
1998,Poultry Meat,89.5,,,,,,,,,,,,,,,,,,
1999,Poultry Meat,93.9,,,,,,,,,,,,,,,,,,
2000,Poultry Meat,94.7,,,,,,,,,,,,,,,,,,
2001,Poultry Meat,94.6,,,,,,,,,,,,,,,,,,
2002,Poultry Meat,98.7,,,,,,,,,,,,,,,,,,
2003,Poultry Meat,99.5,,,,,,,,,,,,,,,,,,
2004,Poultry Meat,101.6,,,,,,,,,,,,,,,,,,
2005,Poultry Meat,103.1,,,,,,,,,,,,,,,,,,
2006,Poultry Meat,103.8,,,,,,,,,,,,,,,,,,
2007,Poultry Meat,103,,,,,,,,,,,,,,,,,,
2008,Poultry Meat,101.4,,,,,,,,,,,,,,,,,,
2009,Poultry Meat,96.9,,,,,,,,,,,,,,,,,,
2010,Poultry Meat,98.8,,,,,,,,,,,,,,,,,,
2011,Poultry Meat,99.3,,,,,,,,,,,,,,,,,,
2012,Poultry Meat,96.7,,,,,,,,,,,,,,,,,,
2013,Poultry Meat,98.2,,,,,,,,,,,,,,,,,,
2014,Poultry Meat,99.6,,,,,,,,,,,,,,,,,,
2015,Poultry Meat,105.2,,,,,,,,,,,,,,,,,,
2016,Poultry Meat,107.6,,,,,,,,,,,,,,,,,,
2017,Poultry Meat,108.5,,,,,,,,,,,,,,,,,,
2018,Poultry Meat,110,,,,,,,,,,,,,,,,,,
1960,Fish,10.3,,,,,,,,,,,,,,,,,,
1965,Fish,10.9,,,,,,,,,,,,,,,,,,
1966,Fish,10.9,,,,,,,,,,,,,,,,,,
1967,Fish,10.6,,,,,,,,,,,,,,,,,,
1968,Fish,11,,,,,,,,,,,,,,,,,,
1969,Fish,11.2,,,,,,,,,,,,,,,,,,
1970,Fish,11.7,,,,,,,,,,,,,,,,,,
1971,Fish,11.5,,,,,,,,,,,,,,,,,,
1972,Fish,12.5,,,,,,,,,,,,,,,,,,
1973,Fish,12.7,,,,,,,,,,,,,,,,,,
1974,Fish,12.1,,,,,,,,,,,,,,,,,,
1975,Fish,12.1,,,,,,,,,,,,,,,,,,
1976,Fish,12.9,,,,,,,,,,,,,,,,,,
1977,Fish,12.6,,,,,,,,,,,,,,,,,,
1978,Fish,13.4,,,,,,,,,,,,,,,,,,
1979,Fish,13,,,,,,,,,,,,,,,,,,
1980,Fish,12.4,,,,,,,,,,,,,,,,,,
1981,Fish,12.6,,,,,,,,,,,,,,,,,,
1982,Fish,12.4,,,,,,,,,,,,,,,,,,
1983,Fish,13.3,,,,,,,,,,,,,,,,,,
1984,Fish,14.1,,,,,,,,,,,,,,,,,,
1985,Fish,15,,,,,,,,,,,,,,,,,,
1986,Fish,15.4,,,,,,,,,,,,,,,,,,
1987,Fish,16.1,,,,,,,,,,,,,,,,,,
1988,Fish,15.1,,,,,,,,,,,,,,,,,,
1989,Fish,15.6,,,,,,,,,,,,,,,,,,
1990,Fish,14.9,,,,,,,,,,,,,,,,,,
1991,Fish,14.8,,,,,,,,,,,,,,,,,,
1992,Fish,14.6,,,,,,,,,,,,,,,,,,
1993,Fish,14.8,,,,,,,,,,,,,,,,,,
1994,Fish,15,,,,,,,,,,,,,,,,,,
1995,Fish,14.8,,,,,,,,,,,,,,,,,,
1996,Fish,14.5,,,,,,,,,,,,,,,,,,
1997,Fish,14.3,,,,,,,,,,,,,,,,,,
1998,Fish,14.5,,,,,,,,,,,,,,,,,,
1999,Fish,14.8,,,,,,,,,,,,,,,,,,
2000,Fish,15.2,,,,,,,,,,,,,,,,,,
2001,Fish,14.7,,,,,,,,,,,,,,,,,,
2002,Fish,15.6,,,,,,,,,,,,,,,,,,
2003,Fish,16.3,,,,,,,,,,,,,,,,,,
2004,Fish,16.6,,,,,,,,,,,,,,,,,,
2005,Fish,16.2,,,,,,,,,,,,,,,,,,
2006,Fish,16.5,,,,,,,,,,,,,,,,,,
2007,Fish,16.3,,,,,,,,,,,,,,,,,,
2008,Fish,15.9,,,,,,,,,,,,,,,,,,
2009,Fish,15.8,,,,,,,,,,,,,,,,,,
2010,Fish,15.8,,,,,,,,,,,,,,,,,,
2011,Fish,14.9,,,,,,,,,,,,,,,,,,
2012,Fish,14.2,,,,,,,,,,,,,,,,,,
2013,Fish,14.3,,,,,,,,,,,,,,,,,,
2014,Fish,14.6,,,,,,,,,,,,,,,,,,
2015,Fish,15.5,,,,,,,,,,,,,,,,,,
2016,Fish,14.7,,,,,,,,,,,,,,,,,,
2017,Fish,16,,,,,,,,,,,,,,,,,,
2018,Fish,16.1,,,,,,,,,,,,,,,,,,
